2026-01-01 周四 | 藏历十一月十三 | 农历冬月十三 | 理发吉日：精进于佛法修持，最上；元旦节
2026-01-02 周五 | 藏历十一月十四 | 农历冬月十四 | 萨迦班智达圆寂纪念日；理发吉日：财物增多；十斋日
2026-01-03 周六 | 藏历十一月十五 | 农历冬月十五 | 阿弥陀佛节日；作何善恶成百万倍；法王如意宝圆寂日；十斋日；理发吉日：福报增上
2026-01-04 周日 | 藏历十一月十六 | 农历冬月十六 | 飞幡日
2026-01-05 周一 | 藏历十一月十七 | 农历冬月十七 | 小寒
2026-01-06 周二 | 藏历十一月十八 | 农历冬月十八 | 观音菩萨节日；作何善恶成千万倍；十斋日
2026-01-07 周三 | 藏历十一月十九 | 农历冬月十九 | 理发吉日：增胜善法
2026-01-08 周四 | 藏历十一月二十 | 农历冬月二十 | 
2026-01-09 周五 | 藏历十一月廿一 | 农历冬月廿一 | 地藏王菩萨节日；作何善恶成亿倍
2026-01-10 周六 | 藏历十一月廿二 | 农历冬月廿二 | 
2026-01-11 周日 | 藏历十一月廿三 | 农历冬月廿三 | 理发吉日：增上财富
2026-01-12 周一 | 藏历十一月廿四 | 农历冬月廿四 | 十斋日
2026-01-13 周二 | 藏历十一月廿五 | 农历冬月廿五 | 空行母荟供日日
2026-01-14 周三 | 藏历十一月廿六 | 农历冬月廿六 | 理发吉日：增上安乐
2026-01-15 周四 | 藏历十一月廿七 | 农历冬月廿七 | 理发吉日：诸事吉祥；十斋日
2026-01-16 周五 | 藏历十一月廿八 | 农历冬月廿八 | 十斋日
2026-01-17 周六 | 藏历十一月廿九 | 农历冬月廿九 | 十斋日
2026-01-18 周日 | 藏历十一月三十 | 农历冬月三十 | 释迦牟尼佛节日；十斋日；作何善恶成九亿倍
2026-01-19 周一 | 藏历十二月初一 | 农历腊月初一 | 禅定胜王佛节日；作何善恶成百倍；飞幡日；十斋日
2026-01-20 周二 | 藏历十二月初二 | 农历腊月初二 | 大寒
2026-01-21 周三 | 藏历十二月初三 | 农历腊月初三 | 理发吉日：家族增长财富
